matchId,teamId,total_passes,total_shots,shots_on_target,fouls_committed,tackles,clearances,successful_events,successful_passes,eventId,total_events,pass_success_rate,shot_accuracy,possession_ratio,opponentId,goals_for,goals_against,home_away,team_name,result,result_label
2499811,1651,483,8,2,10,63,8,574,402,812,501,0.8323,0.25,0.9641,1619,1,1,home,Brighton & Hove Albion,Draw,1
2499812,1613,484,12,5,10,55,20,605,406,932,506,0.8388,0.4167,0.9565,1646,0,1,away,Newcastle United,Loss,0
2499812,1646,445,10,4,8,61,8,548,357,814,463,0.8022,0.4,0.9611,1613,1,0,home,Burnley,Win,2
2499813,1628,387,15,6,18,77,13,531,307,773,420,0.7933,0.4,0.9214,1633,2,2,home,Crystal Palace,Draw,1
2499813,1633,305,4,2,15,91,14,421,222,760,324,0.7279,0.5,0.9414,1628,2,2,away,West Ham United,Draw,1
2499814,1623,456,13,2,11,80,8,612,388,976,480,0.8509,0.1538,0.95,1631,0,2,away,Everton,Loss,0
2499814,1631,298,7,3,6,69,25,466,225,730,311,0.755,0.4286,0.9582,1623,2,0,home,Leicester City,Win,2
2499815,1612,752,14,7,10,54,8,865,665,1112,776,0.8843,0.5,0.9691,1673,3,0,away,Liverpool,Win,2
2499815,1673,236,0,0,8,93,26,333,162,682,244,0.6864,,0.9672,1612,0,3,home,Huddersfield Town,Loss,0
2499816,1611,375,11,3,11,59,20,508,279,788,397,0.744,0.2727,0.9446,1624,1,0,home,Manchester United,Win,2
2499816,1624,492,13,4,14,89,15,595,398,993,519,0.8089,0.3077,0.948,1611,0,1,away,Tottenham Hotspur,Loss,0
2499817,1639,236,5,2,12,77,10,362,166,686,253,0.7034,0.4,0.9328,1644,1,0,away,Stoke City,Win,2
2499817,1644,529,14,0,12,65,9,657,459,924,555,0.8677,0.0,0.9532,1639,0,1,home,Watford,Loss,0
2499818,1625,918,14,5,8,67,9,1026,840,1284,940,0.915,0.3571,0.9766,1627,3,2,away,Manchester City,Win,2
2499818,1627,236,7,4,11,78,15,319,159,611,254,0.6737,0.5714,0.9291,1625,2,3,home,West Bromwich Albion,Loss,0
2499819,1610,432,17,7,16,92,16,625,369,888,465,0.8542,0.4118,0.929,1611,1,0,away,Chelsea,Win,2
2499819,1611,364,9,2,21,106,8,515,296,894,394,0.8132,0.2222,0.9239,1610,0,1,home,Manchester United,Loss,0
2499820,1623,285,8,4,13,94,13,408,214,798,306,0.7509,0.5,0.9314,1644,3,2,away,Everton,Win,2
2499820,1644,442,10,3,12,61,8,607,346,895,464,0.7828,0.3,0.9526,1623,2,3,home,Watford,Loss,0
2499821,1627,399,9,3,15,59,14,542,328,783,423,0.8221,0.3333,0.9433,1673,0,1,home,West Bromwich Albion,Loss,0
2499821,1673,395,6,3,9,102,22,537,326,882,410,0.8253,0.5,0.9634,1627,1,0,away,Huddersfield Town,Win,2
2499822,1609,431,5,3,17,81,11,532,360,816,453,0.8353,0.6,0.9514,1625,1,3,home,Arsenal,Loss,0
2499822,1625,607,8,4,17,75,20,716,536,949,632,0.883,0.5,0.9604,1609,3,1,away,Manchester City,Win,2
2499823,1613,351,17,4,13,67,20,473,276,831,381,0.7863,0.2353,0.9213,1659,0,1,away,Newcastle United,Loss,0
2499823,1659,362,16,6,12,43,15,499,289,762,390,0.7983,0.375,0.9282,1613,1,0,home,AFC Bournemouth,Win,2
2499824,1619,564,14,3,4,58,11,650,478,903,582,0.8475,0.2143,0.9691,1646,0,1,away,Southampton,Loss,0
